status,order_number,ebay_net,dolibarr_net,diff,dolibarr_order_ref,dolibarr_order_id,ebay_rows,ebay_types,invoice_count,invoice_refs,invoice_ids,invoice_types,invoice_amounts,notes
MATCH,01-14514-11442,29.68,29.68,0.00,SO2604-0639,1237,1,Order,1,IN2604-0739,749,invoice,29.68,
NO_LINKED_INVOICES,01-14515-08336,-0.40,0.00,-0.40,SO2604-0650,1248,2,Order|Refund,0,,,,,Sales order SO2604-0650 has no linked invoices/credit notes
MISMATCH,01-14547-13414,-0.70,10.46,-11.16,SO2604-1005,1756,1,Other fee,1,IN2604-1133,1145,invoice,10.46,
MISSING_IN_DOLIBARR,02-14373-06976,2.79,,,,,1,Other fee,0,,,,,No sales order with this ref_client
MATCH,02-14511-68251,32.89,32.89,0.00,SO2604-0635,1227,1,Order,1,IN2604-0686,696,invoice,32.89,
MISMATCH,02-14517-33866,55.56,59.37,-3.81,SO2604-0692,1324,2,Order|Other fee,1,IN2604-0799,810,invoice,59.37,
MISMATCH,02-14529-85718,45.84,49.05,-3.21,SO2604-0855,1573,2,Order|Other fee,1,IN2604-0994,1005,invoice,49.05,
MATCH,02-14534-76719,43.86,43.86,0.00,SO2604-0910,1636,1,Order,1,IN2604-1011,1022,invoice,43.86,
MISMATCH,02-14536-84872,53.60,57.33,-3.73,SO2604-0929,1658,2,Order|Other fee,1,IN2604-1008,1019,invoice,57.33,
MISMATCH,02-14538-79257,9.41,10.04,-0.63,SO2604-0943,1673,2,Order|Other fee,1,IN2604-1000,1011,invoice,10.04,
NO_LINKED_INVOICES,03-14512-17392,0.00,0.00,0.00,SO2604-0658,1256,2,Order|Refund,0,,,,,Sales order SO2604-0658 has no linked invoices/credit notes
MATCH,03-14520-90530,611.78,611.78,0.00,SO2604-0750,1407,1,Order,1,IN2604-0899,910,invoice,611.78,
MISMATCH,03-14523-13946,18.92,20.15,-1.23,SO2604-0777,1435,2,Order|Other fee,1,IN2604-0919,930,invoice,20.15,
MISMATCH,03-14525-18565,28.49,30.45,-1.96,SO2604-0805,1463,2,Order|Other fee,1,IN2604-0934,945,invoice,30.45,
MISSING_IN_DOLIBARR,04-14414-13274,-10.27,,,,,1,Shipping label,0,,,,,No sales order with this ref_client
MATCH,04-14509-55615,441.52,441.52,0.00,SO2604-0648,1246,1,Order,1,IN2604-0726,736,invoice,441.52,
MATCH,04-14516-40601,23.28,23.28,0.00,SO2604-0698,1343,1,Order,1,IN2604-0808,819,invoice,23.28,
MISMATCH,04-14518-12483,68.44,73.05,-4.61,SO2604-0726,1382,2,Order|Other fee,1,IN2604-0882,893,invoice,73.05,
MISMATCH,04-14518-91999,25.70,27.54,-1.84,SO2604-0742,1399,2,Order|Other fee,1,IN2604-0867,878,invoice,27.54,
