credit_note_id,credit_note_ref,ebay_order,credit_amount,credit_date,source_invoice_id,source_invoice_ref,invoice_total,invoice_paid,invoice_paid_flag,invoice_unpaid_before_credit,cleanup_bucket,credit_note_private
4356,IC2606-0628,NULL,57.17000000,2026-06-01,3789,IN2605-3143,57.17000000,57.17000000,1,0,candidate_reverse_payment_then_apply_credit,NULL
4612,IC2606-0651,14-14650-09756,12.14000000,2026-06-04,3588,IN2605-2955,12.14000000,12.14000000,1,0,candidate_reverse_payment_then_apply_credit,NULL
4613,IC2606-0652,25-14661-92979,25.11000000,2026-06-04,3868,IN2605-3220,25.11000000,25.11000000,1,0,candidate_reverse_payment_then_apply_credit,NULL
4634,IC2606-0653,25-14538-82339,17.64000000,2026-06-04,1800,IN2604-1555,72.53000000,72.53000000,1,0,candidate_reverse_payment_then_apply_credit,NULL
4814,IC2606-0665,18-14685-97408,5.62000000,2026-06-08,4197,IN2605-3539,5.62000000,5.62000000,1,0,candidate_reverse_payment_then_apply_credit,NULL
5121,IC2606-0699,27-14681-10263,25.04000000,2026-06-11,4314,IN2606-3655,25.04000000,25.04000000,1,0,candidate_reverse_payment_then_apply_credit,NULL
5154,IC2606-0700,25-14697-30154,13.50000000,2026-06-11,4514,IN2606-3831,21.86000000,21.86000000,1,0,candidate_reverse_payment_then_apply_credit,NULL
5165,IC2606-0701,16-14627-50979,7.41000000,2026-06-11,3188,IN2605-2663,7.41000000,7.41000000,1,0,candidate_reverse_payment_then_apply_credit,NULL
5499,IC2606-0706,15-14661-73445,219.50000000,2026-06-15,3788,IN2605-3142,219.50000000,219.50000000,1,0,candidate_reverse_payment_then_apply_credit,NULL
5565,IC2606-0707,05-14768-22596,10.80000000,2026-06-15,5260,IN2606-4522,10.80000000,10.80000000,1,0,candidate_reverse_payment_then_apply_credit,NULL
5574,IC2606-0708,08-14727-16729,11.28000000,2026-06-16,4580,IN2606-3896,11.28000000,11.28000000,1,0,candidate_reverse_payment_then_apply_credit,NULL
5639,IC2606-0711,09-14733-94420,10.00000000,2026-06-16,4727,IN2606-4032,35.70000000,35.70000000,1,0,candidate_reverse_payment_then_apply_credit,NULL
5792,IC2606-0718,03-14764-73647,25.44000000,2026-06-18,5048,IN2606-4323,25.44000000,25.44000000,1,0,candidate_reverse_payment_then_apply_credit,NULL
5794,IC2606-0719,02-14681-91924,7.73000000,2026-06-18,3767,IN2605-3121,7.73000000,7.73000000,1,0,candidate_reverse_payment_then_apply_credit,NULL
6039,IC2606-0730,22-14549-68896,24.47000000,2026-06-23,1952,IN2604-1633,24.47000000,24.47000000,1,0,candidate_reverse_payment_then_apply_credit,NULL
6040,IC2606-0731,06-14776-09239,16.24000000,2026-06-23,5469,IN2606-4728,16.24000000,16.24000000,1,0,candidate_reverse_payment_then_apply_credit,NULL
6194,IC2606-0734,21-14533-02437,0.01000000,2026-06-24,1730,IN2604-1496,37.34000000,37.34000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 21-14533-02437. Source invoice: IN2604-1496 (id 1730).
6197,IC2606-0735,01-14548-61803,6.82000000,2026-06-24,1173,IN2604-1161,140.86000000,140.86000000,1,0,candidate_reverse_payment_then_apply_credit,Auto-created via eBay reconciliation. eBay order: 01-14548-61803. Source invoice: IN2604-1161 (id 1173).
