credit_note_id,credit_note_ref,ebay_order,credit_amount_ttc,credit_date,reconcile_created,has_user_note,credit_already_available_or_applied,credit_discount_rows,credit_discount_amount,credit_discount_details,source_invoice_id,source_invoice_ref,source_invoice_order,invoice_total_ttc,invoice_paid_amount,payment_line_count,payment_ids,payment_refs,payout_ids,payment_details,invoice_paid_flag,invoice_status,source_invoice_applied_discount_count,source_invoice_applied_discount_amount,computed_invoice_balance_before_repair,total_cn_for_invoice,total_cn_amount_for_invoice,all_cn_refs_for_invoice,total_cn_for_order,total_cn_amount_for_order,all_cn_refs_for_order,invoice_count_for_order,invoice_refs_for_order,repair_bucket,repair_reason,expected_net_payment_after_credit,payment_amount_to_reverse_or_reduce,credit_note_private
792,IC2604-0220,08-14470-40778,85,2026-04-15,no,no,yes,1,85,580::85,247,IN2604-0222,08-14470-40778,85,74.3,1,33,PAY2604-0030,7436295575,33:PAY2604-0030:7436295575:74.3:2026-04-26,1,2,1,10.7,0,2,95.7,"IC2604-0220, IC2604-0193",1,85,IC2604-0220,2,"IN2604-0222, IN2606-5471",already_ok_credit_available_or_applied,Credit note already has Dolibarr discount row; do not repair.,0,85,Created from Pick Ticket: PT2604-0235 |  | Box 1 EasyPost Rate: | Carrier: USPS | Service: GroundAdvantage | Price: $7.54 | Rate ID: rate_f62d1be4799841c7ac3a1a47aae36477 | Tracking Number: 9434636208303392107409 | Label URL: https://easypost-files.s3.us-west-2.amazonaws.com/files/postage_label/2026
1133,IC2604-0001,12-14466-31717,60,2026-04-20,no,no,yes,1,60,579::60,219,IN2604-0194,12-14466-31717,60,50.88,1,33,PAY2604-0030,7436295575,33:PAY2604-0030:7436295575:50.88:2026-04-26,1,2,1,9.12,-0,2,69.12,"IC2604-0001, IC2604-0173",1,60,IC2604-0001,2,"IN2604-0194, IN2606-5440",already_ok_credit_available_or_applied,Credit note already has Dolibarr discount row; do not repair.,0,60,Created from Pick Ticket: PT2604-0300 |  | Box 1 EasyPost Rate: | Carrier: UPSDAP | Service: UPSGroundsaverGreaterThan1lb | Price: $8.29 | Rate ID: rate_1b4a63f6ec6d45ef83013788a5a933b9 | Tracking Number: 1Z1228WBYW35159868 | Label URL: https://easypost-files.s3.us-west-2.amazonaws.com/files/postage
1262,IC2604-0002,NULL,267.29,2026-04-23,no,no,yes,1,267.29,578::267.29,NULL,NULL,NULL,NULL,0,0,,,,,NULL,NULL,0,0,NULL,0,0,,0,0,,0,,already_ok_credit_available_or_applied,Credit note already has Dolibarr discount row; do not repair.,0,267.29,NULL
1263,IC2604-0003,NULL,59.99,2026-04-23,no,no,yes,1,59.99,577::59.99,NULL,NULL,NULL,NULL,0,0,,,,,NULL,NULL,0,0,NULL,0,0,,0,0,,0,,already_ok_credit_available_or_applied,Credit note already has Dolibarr discount row; do not repair.,0,59.99,NULL
1296,IC2604-0004,NULL,39.88,2026-04-23,no,no,yes,1,39.88,576::39.88,NULL,NULL,NULL,NULL,0,0,,,,,NULL,NULL,0,0,NULL,0,0,,0,0,,0,,already_ok_credit_available_or_applied,Credit note already has Dolibarr discount row; do not repair.,0,39.88,NULL
1318,IC2604-0005,NULL,225,2026-04-23,no,no,yes,1,225,575::225,NULL,NULL,NULL,NULL,0,0,,,,,NULL,NULL,0,0,NULL,0,0,,0,0,,0,,already_ok_credit_available_or_applied,Credit note already has Dolibarr discount row; do not repair.,0,225,NULL
1323,IC2604-0006,NULL,8.5,2026-04-23,no,no,yes,1,8.5,574::8.5,NULL,NULL,NULL,NULL,0,0,,,,,NULL,NULL,0,0,NULL,0,0,,0,0,,0,,already_ok_credit_available_or_applied,Credit note already has Dolibarr discount row; do not repair.,0,8.5,NULL
1338,IC2604-0008,NULL,60,2026-04-23,no,no,yes,1,60,572::60,NULL,NULL,NULL,NULL,0,0,,,,,NULL,NULL,0,0,NULL,0,0,,0,0,,0,,already_ok_credit_available_or_applied,Credit note already has Dolibarr discount row; do not repair.,0,60,NULL
1355,IC2604-0009,NULL,76,2026-04-24,no,no,yes,1,76,571::76,NULL,NULL,NULL,NULL,0,0,,,,,NULL,NULL,0,0,NULL,0,0,,0,0,,0,,already_ok_credit_available_or_applied,Credit note already has Dolibarr discount row; do not repair.,0,76,NULL
1356,IC2604-0010,NULL,90,2026-04-24,no,no,yes,1,90,570::90,NULL,NULL,NULL,NULL,0,0,,,,,NULL,NULL,0,0,NULL,0,0,,0,0,,0,,already_ok_credit_available_or_applied,Credit note already has Dolibarr discount row; do not repair.,0,90,NULL
