credit_note_id,credit_note_ref,ebay_order,credit_amount_ttc,credit_date,reconcile_created,has_user_note,credit_already_available_or_applied,credit_discount_rows,credit_discount_amount,credit_discount_details,source_invoice_id,source_invoice_ref,source_invoice_order,invoice_total_ttc,invoice_paid_amount,payment_line_count,payment_ids,payment_refs,payout_ids,payment_details,invoice_paid_flag,invoice_status,source_invoice_applied_discount_count,source_invoice_applied_discount_amount,computed_invoice_balance_before_repair,total_cn_for_invoice,total_cn_amount_for_invoice,all_cn_refs_for_invoice,total_cn_for_order,total_cn_amount_for_order,all_cn_refs_for_order,invoice_count_for_order,invoice_refs_for_order,repair_bucket,repair_reason,expected_net_payment_after_credit,payment_amount_to_reverse_or_reduce,credit_note_private
5574,IC2606-0708,08-14727-16729,11.28,2026-06-16,no,no,no,0,0,,4580,IN2606-3896,08-14727-16729,11.28,11.28,1,2286,PAY2606-2282,7541178119,2286:PAY2606-2282:7541178119:11.28:2026-06-09,1,2,0,0,0,1,11.28,IC2606-0708,1,11.28,IC2606-0708,1,IN2606-3896,safe_auto_fix_candidate,Single reconcile CN + single source invoice + single payment line + payment covers credit amount.,0,11.28,NULL
6039,IC2606-0730,22-14549-68896,24.47,2026-06-23,no,no,no,0,0,,1952,IN2604-1633,22-14549-68896,24.47,24.47,1,404,PAY2605-0400,7487039580,404:PAY2605-0400:7487039580:24.47:2026-05-05,1,2,0,0,0,1,24.47,IC2606-0730,1,24.47,IC2606-0730,1,IN2604-1633,safe_auto_fix_candidate,Single reconcile CN + single source invoice + single payment line + payment covers credit amount.,0,24.47,NULL
6194,IC2606-0734,21-14533-02437,0.01,2026-06-24,yes,no,no,0,0,,1730,IN2604-1496,21-14533-02437,37.34,37.34,1,106,PAY2604-0102,7462176191,106:PAY2604-0102:7462176191:37.34:2026-04-28,1,2,0,0,0,1,0.01,IC2606-0734,1,0.01,IC2606-0734,1,IN2604-1496,safe_auto_fix_candidate,Single reconcile CN + single source invoice + single payment line + payment covers credit amount.,37.33,0.01,Auto-created via eBay reconciliation. eBay order: 21-14533-02437. Source invoice: IN2604-1496 (id 1730).
6197,IC2606-0735,01-14548-61803,6.82,2026-06-24,yes,no,no,0,0,,1173,IN2604-1161,01-14548-61803,140.86,140.86,1,119,PAY2604-0115,7462176191,119:PAY2604-0115:7462176191:140.86:2026-04-28,1,2,0,0,0,1,6.82,IC2606-0735,1,6.82,IC2606-0735,1,IN2604-1161,safe_auto_fix_candidate,Single reconcile CN + single source invoice + single payment line + payment covers credit amount.,134.04,6.82,Auto-created via eBay reconciliation. eBay order: 01-14548-61803. Source invoice: IN2604-1161 (id 1173).
6198,IC2606-0736,01-14554-68065,0.61,2026-06-24,yes,no,no,0,0,,1249,IN2604-1236,01-14554-68065,11.52,11.52,1,120,PAY2604-0116,7462176191,120:PAY2604-0116:7462176191:11.52:2026-04-28,1,2,0,0,0,1,0.61,IC2606-0736,1,0.61,IC2606-0736,1,IN2604-1236,safe_auto_fix_candidate,Single reconcile CN + single source invoice + single payment line + payment covers credit amount.,10.91,0.61,Auto-created via eBay reconciliation. eBay order: 01-14554-68065. Source invoice: IN2604-1236 (id 1249).
6199,IC2606-0737,01-14558-50456,1.43,2026-06-24,yes,no,no,0,0,,1320,IN2604-1303,01-14558-50456,28.68,28.68,1,121,PAY2604-0117,7462176191,121:PAY2604-0117:7462176191:28.68:2026-04-28,1,2,0,0,0,1,1.43,IC2606-0737,1,1.43,IC2606-0737,1,IN2604-1303,safe_auto_fix_candidate,Single reconcile CN + single source invoice + single payment line + payment covers credit amount.,27.25,1.43,Auto-created via eBay reconciliation. eBay order: 01-14558-50456. Source invoice: IN2604-1303 (id 1320).
6201,IC2606-0739,01-14563-82687,5.26,2026-06-24,yes,no,no,0,0,,1694,IN2604-1460,01-14563-82687,100.25,100.25,1,123,PAY2604-0119,7462176191,123:PAY2604-0119:7462176191:100.25:2026-04-28,1,2,0,0,0,1,5.26,IC2606-0739,1,5.26,IC2606-0739,1,IN2604-1460,safe_auto_fix_candidate,Single reconcile CN + single source invoice + single payment line + payment covers credit amount.,94.99,5.26,Auto-created via eBay reconciliation. eBay order: 01-14563-82687. Source invoice: IN2604-1460 (id 1694).
6203,IC2606-0740,01-14571-29195,2.43,2026-06-24,yes,no,no,0,0,,1770,IN2604-1535,01-14571-29195,46.44,46.44,1,126,PAY2604-0122,7462176191,126:PAY2604-0122:7462176191:46.44:2026-04-28,1,2,0,0,0,1,2.43,IC2606-0740,1,2.43,IC2606-0740,1,IN2604-1535,safe_auto_fix_candidate,Single reconcile CN + single source invoice + single payment line + payment covers credit amount.,44.01,2.43,Auto-created via eBay reconciliation. eBay order: 01-14571-29195. Source invoice: IN2604-1535 (id 1770).
6205,IC2606-0742,02-14506-80661,15.66,2026-06-24,yes,no,no,0,0,,651,IN2604-0641,02-14506-80661,16.11,16.11,1,33,PAY2604-0030,7436295575,33:PAY2604-0030:7436295575:16.11:2026-04-26,1,2,0,0,0,1,15.66,IC2606-0742,1,15.66,IC2606-0742,1,IN2604-0641,safe_auto_fix_candidate,Single reconcile CN + single source invoice + single payment line + payment covers credit amount.,0.45,15.66,Auto-created via eBay reconciliation. eBay order: 02-14506-80661. Source invoice: IN2604-0641 (id 651).
6207,IC2606-0744,02-14547-85644,1.08,2026-06-24,yes,no,no,0,0,,1195,IN2604-1183,02-14547-85644,20.86,20.86,1,127,PAY2604-0123,7462176191,127:PAY2604-0123:7462176191:20.86:2026-04-28,1,2,0,0,0,1,1.08,IC2606-0744,1,1.08,IC2606-0744,1,IN2604-1183,safe_auto_fix_candidate,Single reconcile CN + single source invoice + single payment line + payment covers credit amount.,19.78,1.08,Auto-created via eBay reconciliation. eBay order: 02-14547-85644. Source invoice: IN2604-1183 (id 1195).
6208,IC2606-0745,02-14548-54780,6.62,2026-06-24,yes,no,no,0,0,,1225,IN2604-1212,02-14548-54780,139.32,139.32,1,129,PAY2604-0125,7462176191,129:PAY2604-0125:7462176191:139.32:2026-04-28,1,2,0,0,0,1,6.62,IC2606-0745,1,6.62,IC2606-0745,1,IN2604-1212,safe_auto_fix_candidate,Single reconcile CN + single source invoice + single payment line + payment covers credit amount.,132.7,6.62,Auto-created via eBay reconciliation. eBay order: 02-14548-54780. Source invoice: IN2604-1212 (id 1225).
6209,IC2606-0746,02-14552-38818,2.22,2026-06-24,yes,no,no,0,0,,1234,IN2604-1221,02-14552-38818,44.52,44.52,1,130,PAY2604-0126,7462176191,130:PAY2604-0126:7462176191:44.52:2026-04-28,1,2,0,0,0,1,2.22,IC2606-0746,1,2.22,IC2606-0746,1,IN2604-1221,safe_auto_fix_candidate,Single reconcile CN + single source invoice + single payment line + payment covers credit amount.,42.3,2.22,Auto-created via eBay reconciliation. eBay order: 02-14552-38818. Source invoice: IN2604-1221 (id 1234).
6210,IC2606-0747,02-14561-30368,2.42,2026-06-24,yes,no,no,0,0,,1429,IN2604-1387,02-14561-30368,47.93,47.93,1,131,PAY2604-0127,7462176191,131:PAY2604-0127:7462176191:47.93:2026-04-28,1,2,0,0,0,1,2.42,IC2606-0747,1,2.42,IC2606-0747,1,IN2604-1387,safe_auto_fix_candidate,Single reconcile CN + single source invoice + single payment line + payment covers credit amount.,45.51,2.42,Auto-created via eBay reconciliation. eBay order: 02-14561-30368. Source invoice: IN2604-1387 (id 1429).
6211,IC2606-0748,02-14565-58263,0.94,2026-06-24,yes,no,no,0,0,,1706,IN2604-1472,02-14565-58263,18.13,18.13,1,132,PAY2604-0128,7462176191,132:PAY2604-0128:7462176191:18.13:2026-04-28,1,2,0,0,0,1,0.94,IC2606-0748,1,0.94,IC2606-0748,1,IN2604-1472,safe_auto_fix_candidate,Single reconcile CN + single source invoice + single payment line + payment covers credit amount.,17.19,0.94,Auto-created via eBay reconciliation. eBay order: 02-14565-58263. Source invoice: IN2604-1472 (id 1706).
6212,IC2606-0749,02-14566-04898,0.92,2026-06-24,yes,no,no,0,0,,1702,IN2604-1468,02-14566-04898,17.76,17.76,1,133,PAY2604-0129,7462176191,133:PAY2604-0129:7462176191:17.76:2026-04-28,1,2,0,0,0,1,0.92,IC2606-0749,1,0.92,IC2606-0749,1,IN2604-1468,safe_auto_fix_candidate,Single reconcile CN + single source invoice + single payment line + payment covers credit amount.,16.84,0.92,Auto-created via eBay reconciliation. eBay order: 02-14566-04898. Source invoice: IN2604-1468 (id 1702).
6213,IC2606-0750,02-14571-17683,0.92,2026-06-24,yes,no,no,0,0,,1733,IN2604-1499,02-14571-17683,17.77,17.77,1,134,PAY2604-0130,7462176191,134:PAY2604-0130:7462176191:17.77:2026-04-28,1,2,0,0,0,1,0.92,IC2606-0750,1,0.92,IC2606-0750,1,IN2604-1499,safe_auto_fix_candidate,Single reconcile CN + single source invoice + single payment line + payment covers credit amount.,16.85,0.92,Auto-created via eBay reconciliation. eBay order: 02-14571-17683. Source invoice: IN2604-1499 (id 1733).
6216,IC2606-0753,03-14547-46405,3.52,2026-06-24,yes,no,no,0,0,,1233,IN2604-1220,03-14547-46405,75.27,75.27,1,137,PAY2604-0133,7462176191,137:PAY2604-0133:7462176191:75.27:2026-04-28,1,2,0,0,0,1,3.52,IC2606-0753,1,3.52,IC2606-0753,1,IN2604-1220,safe_auto_fix_candidate,Single reconcile CN + single source invoice + single payment line + payment covers credit amount.,71.75,3.52,Auto-created via eBay reconciliation. eBay order: 03-14547-46405. Source invoice: IN2604-1220 (id 1233).
6217,IC2606-0754,03-14551-33209,0.75,2026-06-24,yes,no,no,0,0,,1273,IN2604-1258,03-14551-33209,14.91,14.91,1,138,PAY2604-0134,7462176191,138:PAY2604-0134:7462176191:14.91:2026-04-28,1,2,0,0,0,1,0.75,IC2606-0754,1,0.75,IC2606-0754,1,IN2604-1258,safe_auto_fix_candidate,Single reconcile CN + single source invoice + single payment line + payment covers credit amount.,14.16,0.75,Auto-created via eBay reconciliation. eBay order: 03-14551-33209. Source invoice: IN2604-1258 (id 1273).
6221,IC2606-0755,03-14555-09961,0.47,2026-06-24,yes,no,no,0,0,,1313,IN2604-1297,03-14555-09961,9.03,9.03,1,145,PAY2604-0141,7462176191,145:PAY2604-0141:7462176191:9.03:2026-04-28,1,2,0,0,0,1,0.47,IC2606-0755,1,0.47,IC2606-0755,1,IN2604-1297,safe_auto_fix_candidate,Single reconcile CN + single source invoice + single payment line + payment covers credit amount.,8.56,0.47,Auto-created via eBay reconciliation. eBay order: 03-14555-09961. Source invoice: IN2604-1297 (id 1313).
6222,IC2606-0756,03-14556-31181,11.72,2026-06-24,yes,no,no,0,0,,1379,IN2604-1353,03-14556-31181,222.56,222.56,1,146,PAY2604-0142,7462176191,146:PAY2604-0142:7462176191:222.56:2026-04-28,1,2,0,0,0,1,11.72,IC2606-0756,1,11.72,IC2606-0756,1,IN2604-1353,safe_auto_fix_candidate,Single reconcile CN + single source invoice + single payment line + payment covers credit amount.,210.84,11.72,Auto-created via eBay reconciliation. eBay order: 03-14556-31181. Source invoice: IN2604-1353 (id 1379).
6223,IC2606-0757,03-14557-14478,10.11,2026-06-24,yes,no,no,0,0,,1385,IN2604-1358,03-14557-14478,565.29,565.29,1,147,PAY2604-0143,7462176191,147:PAY2604-0143:7462176191:565.29:2026-04-28,1,2,0,0,0,1,10.11,IC2606-0757,1,10.11,IC2606-0757,1,IN2604-1358,safe_auto_fix_candidate,Single reconcile CN + single source invoice + single payment line + payment covers credit amount.,555.18,10.11,Auto-created via eBay reconciliation. eBay order: 03-14557-14478. Source invoice: IN2604-1358 (id 1385).
6224,IC2606-0758,03-14558-45552,10.15,2026-06-24,yes,no,no,0,0,,1378,IN2604-1352,03-14558-45552,203.09,203.09,1,148,PAY2604-0144,7462176191,148:PAY2604-0144:7462176191:203.09:2026-04-28,1,2,0,0,0,1,10.15,IC2606-0758,1,10.15,IC2606-0758,1,IN2604-1352,safe_auto_fix_candidate,Single reconcile CN + single source invoice + single payment line + payment covers credit amount.,192.94,10.15,Auto-created via eBay reconciliation. eBay order: 03-14558-45552. Source invoice: IN2604-1352 (id 1378).
6227,IC2606-0760,04-14543-89621,0.73,2026-06-24,yes,no,no,0,0,,1178,IN2604-1166,04-14543-89621,13.3,13.3,1,152,PAY2604-0148,7462176191,152:PAY2604-0148:7462176191:13.3:2026-04-28,1,2,0,0,0,1,0.73,IC2606-0760,1,0.73,IC2606-0760,1,IN2604-1166,safe_auto_fix_candidate,Single reconcile CN + single source invoice + single payment line + payment covers credit amount.,12.57,0.73,Auto-created via eBay reconciliation. eBay order: 04-14543-89621. Source invoice: IN2604-1166 (id 1178).
6228,IC2606-0761,04-14549-20032,0.85,2026-06-24,yes,no,no,0,0,,1250,IN2604-1237,04-14549-20032,16.11,16.11,1,153,PAY2604-0149,7462176191,153:PAY2604-0149:7462176191:16.11:2026-04-28,1,2,0,0,0,1,0.85,IC2606-0761,1,0.85,IC2606-0761,1,IN2604-1237,safe_auto_fix_candidate,Single reconcile CN + single source invoice + single payment line + payment covers credit amount.,15.26,0.85,Auto-created via eBay reconciliation. eBay order: 04-14549-20032. Source invoice: IN2604-1237 (id 1250).
6230,IC2606-0762,04-14556-93818,12.86,2026-06-24,yes,no,no,0,0,,1365,IN2604-1339,04-14556-93818,252.64,252.64,1,158,PAY2604-0154,7462176191,158:PAY2604-0154:7462176191:252.64:2026-04-28,1,2,0,0,0,1,12.86,IC2606-0762,1,12.86,IC2606-0762,1,IN2604-1339,safe_auto_fix_candidate,Single reconcile CN + single source invoice + single payment line + payment covers credit amount.,239.78,12.86,Auto-created via eBay reconciliation. eBay order: 04-14556-93818. Source invoice: IN2604-1339 (id 1365).
6232,IC2606-0763,04-14558-07398,3.25,2026-06-24,yes,no,no,0,0,,1428,IN2604-1386,04-14558-07398,63.09,63.09,1,159,PAY2604-0155,7462176191,159:PAY2604-0155:7462176191:63.09:2026-04-28,1,2,0,0,0,1,3.25,IC2606-0763,1,3.25,IC2606-0763,1,IN2604-1386,safe_auto_fix_candidate,Single reconcile CN + single source invoice + single payment line + payment covers credit amount.,59.84,3.25,Auto-created via eBay reconciliation. eBay order: 04-14558-07398. Source invoice: IN2604-1386 (id 1428).
6233,IC2606-0764,04-14558-24711,0.56,2026-06-24,yes,no,no,0,0,,1695,IN2604-1461,04-14558-24711,10.72,10.72,1,160,PAY2604-0156,7462176191,160:PAY2604-0156:7462176191:10.72:2026-04-28,1,2,0,0,0,1,0.56,IC2606-0764,1,0.56,IC2606-0764,1,IN2604-1461,safe_auto_fix_candidate,Single reconcile CN + single source invoice + single payment line + payment covers credit amount.,10.16,0.56,Auto-created via eBay reconciliation. eBay order: 04-14558-24711. Source invoice: IN2604-1461 (id 1695).
6235,IC2606-0766,04-14566-27336,0.74,2026-06-24,yes,no,no,0,0,,1766,IN2604-1531,04-14566-27336,13.56,13.56,1,162,PAY2604-0158,7462176191,162:PAY2604-0158:7462176191:13.56:2026-04-28,1,2,0,0,0,1,0.74,IC2606-0766,1,0.74,IC2606-0766,1,IN2604-1531,safe_auto_fix_candidate,Single reconcile CN + single source invoice + single payment line + payment covers credit amount.,12.82,0.74,Auto-created via eBay reconciliation. eBay order: 04-14566-27336. Source invoice: IN2604-1531 (id 1766).
6236,IC2606-0767,05-14545-68497,1.42,2026-06-24,yes,no,no,0,0,,1208,IN2604-1195,05-14545-68497,26.29,26.29,1,163,PAY2604-0159,7462176191,163:PAY2604-0159:7462176191:26.29:2026-04-28,1,2,0,0,0,1,1.42,IC2606-0767,1,1.42,IC2606-0767,1,IN2604-1195,safe_auto_fix_candidate,Single reconcile CN + single source invoice + single payment line + payment covers credit amount.,24.87,1.42,Auto-created via eBay reconciliation. eBay order: 05-14545-68497. Source invoice: IN2604-1195 (id 1208).
