credit_note_id,credit_note_ref,ebay_order,credit_amount,credit_date,source_invoice_id,source_invoice_ref,source_invoice_total,source_invoice_paid_flag,source_invoice_payment_lines,source_invoice_payment_count,source_invoice_paid_amount,source_invoice_payment_details,credit_available_or_applied,credit_discount_rows,credit_discount_amount,credit_discount_details,module_cn_count_for_source_invoice,module_cn_amount_for_source_invoice,module_cn_refs_for_source_invoice,invoice_count_for_order,invoice_refs_for_order,module_only_bucket,module_only_reason,expected_net_payment_after_credit,note_private
9092,IC2606-2838,09-14819-22344,299.99,2026-06-29,9077,IN2606-6201,1000,1,1,1,1000,3161:PAY2606-3157:STAGE-1021-SINGLE-09-14819-22344:1000:2026-06-28,yes,1,299.99000000,642:applied_to=:amt=299.99,1,299.99,IC2606-2838,1,IN2606-6201,already_ok_available_or_applied,Already has Dolibarr discount/credit row.,700.01,Auto-created via eBay reconciliation. eBay order: 09-14819-22344. Source invoice: IN2606-6201 (id 9077).
6206,IC2606-0743,02-14522-93902,12.53,2026-06-24,920,IN2604-0909,7.14,1,1,1,7.14,128:PAY2604-0124:7462176191:7.14:2026-04-28,no,0,0.00000000,,1,12.53,IC2606-0743,3,"IN2604-0909, IN2606-5464, IN2606-5570",wrong_ambiguous_order_invoice_mapping,Order has zero/multiple invoices; repair mapping ambiguous.,0,Auto-created via eBay reconciliation. eBay order: 02-14522-93902. Source invoice: IN2604-0909 (id 920).
6214,IC2606-0751,02-14575-10487,32.75,2026-06-24,1831,IN2604-1578,31.08,1,1,1,31.08,135:PAY2604-0131:7462176191:31.08:2026-04-28,no,0,0.00000000,,1,32.75,IC2606-0751,2,"IN2604-1578, IN2606-5520",wrong_ambiguous_order_invoice_mapping,Order has zero/multiple invoices; repair mapping ambiguous.,0,Auto-created via eBay reconciliation. eBay order: 02-14575-10487. Source invoice: IN2604-1578 (id 1831).
6239,IC2606-0770,05-14551-19850,4.49,2026-06-24,1292,IN2604-1277,87.21,1,1,1,87.21,165:PAY2604-0161:7462176191:87.21:2026-04-28,no,0,0.00000000,,2,110.47,"IC2606-0770, IC2606-1786",2,"IN2604-1277, IN2606-5680",wrong_ambiguous_order_invoice_mapping,Order has zero/multiple invoices; repair mapping ambiguous.,82.72,Auto-created via eBay reconciliation. eBay order: 05-14551-19850. Source invoice: IN2604-1277 (id 1292).
6249,IC2606-0779,06-14568-32863,9.89,2026-06-24,1822,IN2604-1570,9.38,1,1,1,9.38,177:PAY2604-0173:7462176191:9.38:2026-04-28,no,0,0.00000000,,1,9.89,IC2606-0779,2,"IN2604-1570, IN2606-5525",wrong_ambiguous_order_invoice_mapping,Order has zero/multiple invoices; repair mapping ambiguous.,0,Auto-created via eBay reconciliation. eBay order: 06-14568-32863. Source invoice: IN2604-1570 (id 1822).
6250,IC2606-0780,06-14568-78021,7.51,2026-06-24,1840,IN2604-1586,7.15,1,1,1,7.15,178:PAY2604-0174:7462176191:7.15:2026-04-28,no,0,0.00000000,,1,7.51,IC2606-0780,2,"IN2604-1586, IN2606-5526",wrong_ambiguous_order_invoice_mapping,Order has zero/multiple invoices; repair mapping ambiguous.,0,Auto-created via eBay reconciliation. eBay order: 06-14568-78021. Source invoice: IN2604-1586 (id 1840).
6251,IC2606-0781,06-14570-38284,11.37,2026-06-24,1838,IN2604-1584,10.86,1,1,1,10.86,179:PAY2604-0175:7462176191:10.86:2026-04-28,no,0,0.00000000,,1,11.37,IC2606-0781,2,"IN2604-1584, IN2606-5527",wrong_ambiguous_order_invoice_mapping,Order has zero/multiple invoices; repair mapping ambiguous.,0,Auto-created via eBay reconciliation. eBay order: 06-14570-38284. Source invoice: IN2604-1584 (id 1838).
6259,IC2606-0789,07-14564-84775,13.96,2026-06-24,1715,IN2604-1481,13.24,1,1,1,13.24,186:PAY2604-0182:7462176191:13.24:2026-04-28,no,0,0.00000000,,1,13.96,IC2606-0789,2,"IN2604-1481, IN2606-5529",wrong_ambiguous_order_invoice_mapping,Order has zero/multiple invoices; repair mapping ambiguous.,0,Auto-created via eBay reconciliation. eBay order: 07-14564-84775. Source invoice: IN2604-1481 (id 1715).
6260,IC2606-0790,08-14523-13486,37.26,2026-06-24,1023,IN2604-1012,18.9,1,1,1,18.9,187:PAY2604-0183:7462176191:18.9:2026-04-28,no,0,0.00000000,,1,37.26,IC2606-0790,2,"IN2604-1012, IN2606-5474",wrong_ambiguous_order_invoice_mapping,Order has zero/multiple invoices; repair mapping ambiguous.,0,Auto-created via eBay reconciliation. eBay order: 08-14523-13486. Source invoice: IN2604-1012 (id 1023).
6271,IC2606-0799,10-14498-46584,16.32,2026-06-24,690,IN2604-0680,8.36,1,1,1,8.36,200:PAY2604-0196:7462176191:8.36:2026-04-28,no,0,0.00000000,,1,16.32,IC2606-0799,2,"IN2604-0680, IN2606-5476",wrong_ambiguous_order_invoice_mapping,Order has zero/multiple invoices; repair mapping ambiguous.,0,Auto-created via eBay reconciliation. eBay order: 10-14498-46584. Source invoice: IN2604-0680 (id 690).
6294,IC2606-0817,13-14532-02625,11.61,2026-06-24,1216,IN2604-1203,249.8,1,1,1,249.8,227:PAY2604-0223:7462176191:249.8:2026-04-28,no,0,0.00000000,,2,238.59,"IC2606-0817, IC2606-1652",2,"IN2604-1203, IN2606-5644",wrong_ambiguous_order_invoice_mapping,Order has zero/multiple invoices; repair mapping ambiguous.,238.19,Auto-created via eBay reconciliation. eBay order: 13-14532-02625. Source invoice: IN2604-1203 (id 1216).
