credit_note_id,credit_note_ref,ebay_order,credit_amount,credit_date,source_invoice_id,source_invoice_ref,source_invoice_total,source_invoice_paid_flag,source_invoice_payment_lines,source_invoice_payment_count,source_invoice_paid_amount,source_invoice_payment_details,credit_available_or_applied,credit_discount_rows,credit_discount_amount,credit_discount_details,module_cn_count_for_source_invoice,module_cn_amount_for_source_invoice,module_cn_refs_for_source_invoice,invoice_count_for_order,invoice_refs_for_order,module_only_bucket,module_only_reason,expected_net_payment_after_credit,note_private
6194,IC2606-0734,21-14533-02437,0.01,2026-06-24,1730,IN2604-1496,37.34,1,1,1,37.34,106:PAY2604-0102:7462176191:37.34:2026-04-28,no,0,0.00000000,,1,0.01,IC2606-0734,1,IN2604-1496,wrong_repairable_module_credit_not_applied,Module-created credit note was validated but never made available/applied; single invoice + single payment line.,37.33,Auto-created via eBay reconciliation. eBay order: 21-14533-02437. Source invoice: IN2604-1496 (id 1730).
6197,IC2606-0735,01-14548-61803,6.82,2026-06-24,1173,IN2604-1161,140.86,1,1,1,140.86,119:PAY2604-0115:7462176191:140.86:2026-04-28,no,0,0.00000000,,1,6.82,IC2606-0735,1,IN2604-1161,wrong_repairable_module_credit_not_applied,Module-created credit note was validated but never made available/applied; single invoice + single payment line.,134.04,Auto-created via eBay reconciliation. eBay order: 01-14548-61803. Source invoice: IN2604-1161 (id 1173).
6198,IC2606-0736,01-14554-68065,0.61,2026-06-24,1249,IN2604-1236,11.52,1,1,1,11.52,120:PAY2604-0116:7462176191:11.52:2026-04-28,no,0,0.00000000,,1,0.61,IC2606-0736,1,IN2604-1236,wrong_repairable_module_credit_not_applied,Module-created credit note was validated but never made available/applied; single invoice + single payment line.,10.91,Auto-created via eBay reconciliation. eBay order: 01-14554-68065. Source invoice: IN2604-1236 (id 1249).
6199,IC2606-0737,01-14558-50456,1.43,2026-06-24,1320,IN2604-1303,28.68,1,1,1,28.68,121:PAY2604-0117:7462176191:28.68:2026-04-28,no,0,0.00000000,,1,1.43,IC2606-0737,1,IN2604-1303,wrong_repairable_module_credit_not_applied,Module-created credit note was validated but never made available/applied; single invoice + single payment line.,27.25,Auto-created via eBay reconciliation. eBay order: 01-14558-50456. Source invoice: IN2604-1303 (id 1320).
6201,IC2606-0739,01-14563-82687,5.26,2026-06-24,1694,IN2604-1460,100.25,1,1,1,100.25,123:PAY2604-0119:7462176191:100.25:2026-04-28,no,0,0.00000000,,1,5.26,IC2606-0739,1,IN2604-1460,wrong_repairable_module_credit_not_applied,Module-created credit note was validated but never made available/applied; single invoice + single payment line.,94.99,Auto-created via eBay reconciliation. eBay order: 01-14563-82687. Source invoice: IN2604-1460 (id 1694).
6203,IC2606-0740,01-14571-29195,2.43,2026-06-24,1770,IN2604-1535,46.44,1,1,1,46.44,126:PAY2604-0122:7462176191:46.44:2026-04-28,no,0,0.00000000,,1,2.43,IC2606-0740,1,IN2604-1535,wrong_repairable_module_credit_not_applied,Module-created credit note was validated but never made available/applied; single invoice + single payment line.,44.01,Auto-created via eBay reconciliation. eBay order: 01-14571-29195. Source invoice: IN2604-1535 (id 1770).
6205,IC2606-0742,02-14506-80661,15.66,2026-06-24,651,IN2604-0641,16.11,1,1,1,16.11,33:PAY2604-0030:7436295575:16.11:2026-04-26,no,0,0.00000000,,1,15.66,IC2606-0742,1,IN2604-0641,wrong_repairable_module_credit_not_applied,Module-created credit note was validated but never made available/applied; single invoice + single payment line.,0.45,Auto-created via eBay reconciliation. eBay order: 02-14506-80661. Source invoice: IN2604-0641 (id 651).
6207,IC2606-0744,02-14547-85644,1.08,2026-06-24,1195,IN2604-1183,20.86,1,1,1,20.86,127:PAY2604-0123:7462176191:20.86:2026-04-28,no,0,0.00000000,,1,1.08,IC2606-0744,1,IN2604-1183,wrong_repairable_module_credit_not_applied,Module-created credit note was validated but never made available/applied; single invoice + single payment line.,19.78,Auto-created via eBay reconciliation. eBay order: 02-14547-85644. Source invoice: IN2604-1183 (id 1195).
6208,IC2606-0745,02-14548-54780,6.62,2026-06-24,1225,IN2604-1212,139.32,1,1,1,139.32,129:PAY2604-0125:7462176191:139.32:2026-04-28,no,0,0.00000000,,1,6.62,IC2606-0745,1,IN2604-1212,wrong_repairable_module_credit_not_applied,Module-created credit note was validated but never made available/applied; single invoice + single payment line.,132.7,Auto-created via eBay reconciliation. eBay order: 02-14548-54780. Source invoice: IN2604-1212 (id 1225).
6209,IC2606-0746,02-14552-38818,2.22,2026-06-24,1234,IN2604-1221,44.52,1,1,1,44.52,130:PAY2604-0126:7462176191:44.52:2026-04-28,no,0,0.00000000,,1,2.22,IC2606-0746,1,IN2604-1221,wrong_repairable_module_credit_not_applied,Module-created credit note was validated but never made available/applied; single invoice + single payment line.,42.3,Auto-created via eBay reconciliation. eBay order: 02-14552-38818. Source invoice: IN2604-1221 (id 1234).
6210,IC2606-0747,02-14561-30368,2.42,2026-06-24,1429,IN2604-1387,47.93,1,1,1,47.93,131:PAY2604-0127:7462176191:47.93:2026-04-28,no,0,0.00000000,,1,2.42,IC2606-0747,1,IN2604-1387,wrong_repairable_module_credit_not_applied,Module-created credit note was validated but never made available/applied; single invoice + single payment line.,45.51,Auto-created via eBay reconciliation. eBay order: 02-14561-30368. Source invoice: IN2604-1387 (id 1429).
6211,IC2606-0748,02-14565-58263,0.94,2026-06-24,1706,IN2604-1472,18.13,1,1,1,18.13,132:PAY2604-0128:7462176191:18.13:2026-04-28,no,0,0.00000000,,1,0.94,IC2606-0748,1,IN2604-1472,wrong_repairable_module_credit_not_applied,Module-created credit note was validated but never made available/applied; single invoice + single payment line.,17.19,Auto-created via eBay reconciliation. eBay order: 02-14565-58263. Source invoice: IN2604-1472 (id 1706).
6212,IC2606-0749,02-14566-04898,0.92,2026-06-24,1702,IN2604-1468,17.76,1,1,1,17.76,133:PAY2604-0129:7462176191:17.76:2026-04-28,no,0,0.00000000,,1,0.92,IC2606-0749,1,IN2604-1468,wrong_repairable_module_credit_not_applied,Module-created credit note was validated but never made available/applied; single invoice + single payment line.,16.84,Auto-created via eBay reconciliation. eBay order: 02-14566-04898. Source invoice: IN2604-1468 (id 1702).
6213,IC2606-0750,02-14571-17683,0.92,2026-06-24,1733,IN2604-1499,17.77,1,1,1,17.77,134:PAY2604-0130:7462176191:17.77:2026-04-28,no,0,0.00000000,,1,0.92,IC2606-0750,1,IN2604-1499,wrong_repairable_module_credit_not_applied,Module-created credit note was validated but never made available/applied; single invoice + single payment line.,16.85,Auto-created via eBay reconciliation. eBay order: 02-14571-17683. Source invoice: IN2604-1499 (id 1733).
6216,IC2606-0753,03-14547-46405,3.52,2026-06-24,1233,IN2604-1220,75.27,1,1,1,75.27,137:PAY2604-0133:7462176191:75.27:2026-04-28,no,0,0.00000000,,1,3.52,IC2606-0753,1,IN2604-1220,wrong_repairable_module_credit_not_applied,Module-created credit note was validated but never made available/applied; single invoice + single payment line.,71.75,Auto-created via eBay reconciliation. eBay order: 03-14547-46405. Source invoice: IN2604-1220 (id 1233).
6217,IC2606-0754,03-14551-33209,0.75,2026-06-24,1273,IN2604-1258,14.91,1,1,1,14.91,138:PAY2604-0134:7462176191:14.91:2026-04-28,no,0,0.00000000,,1,0.75,IC2606-0754,1,IN2604-1258,wrong_repairable_module_credit_not_applied,Module-created credit note was validated but never made available/applied; single invoice + single payment line.,14.16,Auto-created via eBay reconciliation. eBay order: 03-14551-33209. Source invoice: IN2604-1258 (id 1273).
6221,IC2606-0755,03-14555-09961,0.47,2026-06-24,1313,IN2604-1297,9.03,1,1,1,9.03,145:PAY2604-0141:7462176191:9.03:2026-04-28,no,0,0.00000000,,1,0.47,IC2606-0755,1,IN2604-1297,wrong_repairable_module_credit_not_applied,Module-created credit note was validated but never made available/applied; single invoice + single payment line.,8.56,Auto-created via eBay reconciliation. eBay order: 03-14555-09961. Source invoice: IN2604-1297 (id 1313).
6222,IC2606-0756,03-14556-31181,11.72,2026-06-24,1379,IN2604-1353,222.56,1,1,1,222.56,146:PAY2604-0142:7462176191:222.56:2026-04-28,no,0,0.00000000,,1,11.72,IC2606-0756,1,IN2604-1353,wrong_repairable_module_credit_not_applied,Module-created credit note was validated but never made available/applied; single invoice + single payment line.,210.84,Auto-created via eBay reconciliation. eBay order: 03-14556-31181. Source invoice: IN2604-1353 (id 1379).
6223,IC2606-0757,03-14557-14478,10.11,2026-06-24,1385,IN2604-1358,565.29,1,1,1,565.29,147:PAY2604-0143:7462176191:565.29:2026-04-28,no,0,0.00000000,,1,10.11,IC2606-0757,1,IN2604-1358,wrong_repairable_module_credit_not_applied,Module-created credit note was validated but never made available/applied; single invoice + single payment line.,555.18,Auto-created via eBay reconciliation. eBay order: 03-14557-14478. Source invoice: IN2604-1358 (id 1385).
6224,IC2606-0758,03-14558-45552,10.15,2026-06-24,1378,IN2604-1352,203.09,1,1,1,203.09,148:PAY2604-0144:7462176191:203.09:2026-04-28,no,0,0.00000000,,1,10.15,IC2606-0758,1,IN2604-1352,wrong_repairable_module_credit_not_applied,Module-created credit note was validated but never made available/applied; single invoice + single payment line.,192.94,Auto-created via eBay reconciliation. eBay order: 03-14558-45552. Source invoice: IN2604-1352 (id 1378).
6227,IC2606-0760,04-14543-89621,0.73,2026-06-24,1178,IN2604-1166,13.3,1,1,1,13.3,152:PAY2604-0148:7462176191:13.3:2026-04-28,no,0,0.00000000,,1,0.73,IC2606-0760,1,IN2604-1166,wrong_repairable_module_credit_not_applied,Module-created credit note was validated but never made available/applied; single invoice + single payment line.,12.57,Auto-created via eBay reconciliation. eBay order: 04-14543-89621. Source invoice: IN2604-1166 (id 1178).
